timestamp,workload,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,pg_checkpoint_completion_target,pg_checkpoint_segments,pg_default_statistics_target,pg_effective_cache_size_mb,pg_maintenance_work_mem_mb,pg_random_page_cost,pg_shared_buffers_mb,pg_wal_buffers_mb,pg_work_mem_kb
1517597309,8.2,44,89,112,1,2,5,6,11,42,301,476,588,45,1081,1257,1386,2990,3714,28,46,119,0.5,3,100,128,16,4,128,128,1024
1517597311,8.2,44,89,112,1,2,5,6,11,42,301,476,588,45,1081,1257,1386,2990,3714,28,46,119,0.5,3,100,128,16,4,128,128,1024
1517597313,7.4,44,89,112,1,2,5,6,11,42,303,476,588,45,1123,1257,1697,3340,4135,28,46,119,0.5,3,100,128,16,4,128,128,1024
1517597315,7.4,44,89,112,1,2,5,6,11,42,303,476,588,45,1123,1257,1697,3340,4135,28,46,119,0.5,3,100,128,16,4,128,128,1024
1517597317,7.4,44,89,112,1,2,4,6,11,42,306,486,588,45,1123,1257,1697,3714,4439,28,46,119,0.5,3,100,128,16,4,128,128,1024
1517597319,7.4,44,89,112,1,2,4,6,11,42,306,486,588,45,1123,1257,1697,3714,4439,28,46,119,0.5,3,100,128,16,4,128,128,1024
1517597321,7.4,44,89,112,1,2,4,6,11,42,306,486,588,45,1123,1257,1697,3714,4439,28,46,119,0.5,3,100,128,16,4,128,128,1024
1517597323,7.6,45,90,112,1,2,4,6,11,37,307,488,588,45,1162,1257,1697,3714,4439,29,47,119,0.5,3,100,128,16,4,128,128,1024
1517597325,7.6,45,90,112,1,2,4,6,11,37,307,488,588,45,1162,1257,1697,3714,4439,29,47,119,0.5,3,100,128,16,4,128,128,1024
1517597327,10,45,90,112,1,2,4,6,11,37,313,486,588,45,1162,1251,1407,3714,4439,31,47,119,0.5,3,100,128,16,4,128,128,1024
